AddressID,Address,BatchID
0,"1 Park Avenue, Hackensack, NJ, 07601",1
1,"1 University Plaza Drive, Hackensack, NJ, 07601",1
2,"10 Sussex Street, Hackensack, NJ, 07601",1
3,"100 Essex Street, Hackensack, NJ, 07601",1
4,"100 John Street, Hackensack, NJ, 07601",1
5,"100 Second Street, Hackensack, NJ, 07601",1
6,"100 State Street, Hackensack, NJ, 07601",1
7,"11 East Anderson Street, Hackensack, NJ, 07601",1
8,"11 Passaic Street, Hackensack, NJ, 07601",1
9,"111 River Street, Hackensack, NJ, 07601",1
10,"119 Essex Street, Hackensack, NJ, 07601",1
11,"120 Atlantic Street, Hackensack, NJ, 07601",1
12,"123 Anderson Street, Hackensack, NJ, 07601",1
13,"125 Lawrence Street, Hackensack, NJ, 07601",1
14,"125 River Street, Hackensack, NJ, 07601",1
15,"130 Overlook Avenue, Hackensack, NJ, 07601",1
16,"133 Cedar Avenue, Hackensack, NJ, 07601",1
17,"135 First Street, Hackensack, NJ, 07601",1
18,"140 Hudson Street, Hackensack, NJ, 07601",1
19,"144 Hudson Street, Hackensack, NJ, 07601",1
20,"15 Parkway, Hackensack, NJ, 07601",1
21,"150 Main Street, Hackensack, NJ, 07601",1
22,"157 Central Avenue, Hackensack, NJ, 07601",1
23,"16 Johnson Avenue, Hackensack, NJ, 07601",1
24,"160 Overlook Avenue, Hackensack, NJ, 07601",1
25,"160 River Street, Hackensack, NJ, 07601",1
26,"167 Central Avenue, Hackensack, NJ, 07601",1
27,"170 Hudson Street, Hackensack, NJ, 07601",1
28,"170 South Park Street, Hackensack, NJ, 07601",1
29,"171 Kenneth Street, Hackensack, NJ, 07601",1
30,"175 Passaic Street, Hackensack, NJ, 07601",1
31,"176 Berdan Place, Hackensack, NJ, 07601",1
32,"18 East Camden Street, Hackensack, NJ, 07601",1
33,"18 Lodi Street, Hackensack, NJ, 07601",1
34,"185 Central Avenue, Hackensack, NJ, 07601",1
35,"195 High Street, Hackensack, NJ, 07601",1
36,"2 Kinderkamack Road, Hackensack, NJ, 07601",1
37,"2 Park Avenue, Hackensack, NJ, 07601",1
38,"20 Atlantic Street, Hackensack, NJ, 07601",1
39,"20 Prospect Avenue, Hackensack, NJ, 07601",1
40,"204 Clay Street, Hackensack, NJ, 07601",1
41,"206 Stanley Place, Hackensack, NJ, 07601",1
42,"208 Anderson Street, Hackensack, NJ, 07601",1
43,"210 Main Street, Hackensack, NJ, 07601",1
44,"211 Essex Street, Hackensack, NJ, 07601",1
45,"215 Charles Street, Hackensack, NJ, 07601",1
46,"216 Central Avenue, Hackensack, NJ, 07601",1
47,"216 Essex Street, Hackensack, NJ, 07601",1
48,"233 Kinderkamack Road, Hackensack, NJ, 07601",1
49,"24 Pulaski Park, Hackensack, NJ, 07601",1
50,"24 Pulaski Place, Hackensack, NJ, 07601",2
51,"240 First Street, Hackensack, NJ, 07601",2
52,"240 Prospect Avenue, Hackensack, NJ, 07601",2
53,"244 First Street, Hackensack, NJ, 07601",2
54,"250 Main Street, Hackensack, NJ, 07601",2
55,"259 Park Street, Hackensack, NJ, 07601",2
56,"260 Prospect Avenue, Hackensack, NJ, 07601",2
57,"260 Union Street, Hackensack, NJ, 07601",2
58,"274 Main Street, Hackensack, NJ, 07601",2
59,"274 State Street, Hackensack, NJ, 07601",2
60,"275 Beech Street, Hackensack, NJ, 07601",2
61,"28 Summit Avenue, Hackensack, NJ, 07601",2
62,"280 Kipp Street, Hackensack, NJ, 07601",2
63,"282 American Legion Drive, Hackensack, NJ, 07601",2
64,"283 Summit Avenue, Hackensack, NJ, 07601",2
65,"286 Lodi Street, Hackensack, NJ, 07601",2
66,"292 The Esplanade, Hackensack, NJ, 07601",2
67,"296 Berry Street, Hackensack, NJ, 07601",2
68,"30 Prospect Avenue, Hackensack, NJ, 07601",2
69,"30 Second Street, Hackensack, NJ, 07601",2
70,"307 Maple Hill Drive, Hackensack, NJ, 07601",2
71,"309 Lookout Avenue, Hackensack, NJ, 07601",2
72,"310 Lookout Avenue, Hackensack, NJ, 07601",2
73,"325 Union Street, Hackensack, NJ, 07601",2
74,"326 Prospect Avenue, Hackensack, NJ, 07601",2
75,"33 East Broadway, Hackensack, NJ, 07601",2
76,"33 Henry Place, Hackensack, NJ, 07601",2
77,"33 Oak Street, Hackensack, NJ, 07601",2
78,"33 Ross Avenue, Hackensack, NJ, 07601",2
